SUITE	SUÍTE
AVIDO	ÁVIDO
UTERO	ÚTERO
MELAO	MELÃO
MAMAE	MAMÃE
OXALA	OXALÁ
LABIA	LÁBIA
VIRUS	VÍRUS
EXITO	ÊXITO
BALAO	BALÃO
ARIDO	ÁRIDO
MUMIA	MÚMIA
FOGAO	FOGÃO
OSSEO	ÓSSEO
ATOMO	ÁTOMO
COLON	CÓLON
PATIO	PÁTIO
LATAO	LATÃO
TORAX	TÓRAX
TUNEL	TÚNEL
TACAS	TAÇAS
ACOES	AÇÕES
SUINO	SUÍNO
MACAS	MAÇÃS
NOCAO	NOÇÃO
AEREA	AÉREA
SOCIO	SÓCIO
VARAO	VARÃO
OXIDO	ÓXIDO
EPOCA	ÉPOCA
JOIAS	JÓIAS
AGEIS	ÁGEIS
TRENO	TRENÓ
OPERA	ÓPERA
SERIE	SÉRIE
ACIDO	ÁCIDO
APICE	ÁPICE
LIDER	LÍDER
GARCA	GARÇA
JUIZA	JUÍZA
MERCE	MERCÊ
PONEI	PÔNEI
NACAO	NAÇÃO
PODIO	PÓDIO
TELAO	TELÃO
REUSO	REÚSO
PIRAO	PIRÃO
UNICA	ÚNICA
MAGOA	MÁGOA
LABIO	LÁBIO
AEREO	AÉREO
IDEIA	IDÉIA
BERCO	BERÇO
FLUOR	FLÚOR
UTEIS	ÚTEIS
GIRIA	GÍRIA
RUINA	RUÍNA
FARAO	FARAÓ
MIOPE	MÍOPE
CAIDA	CAÍDA
LAPIS	LÁPIS
TEDIO	TÉDIO
PINCA	PINÇA
ACARO	ÁCARO
AVELA	AVELÃ
SAIDA	SAÍDA
LOTUS	LÓTUS
RIMEL	RÍMEL
SERIO	SÉRIO
VICIO	VÍCIO
PRACA	PRAÇA
VISAO	VISÃO
RAZAO	RAZÃO
MIDIA	MÍDIA
PAREO	PÁREO
VIDEO	VÍDEO
HEROI	HERÓI
COPIA	CÓPIA
COCAR	COÇAR
ARDUA	ÁRDUA
LEOES	LEÕES
LOCAO	LOÇÃO
EPICO	ÉPICO
OVULO	ÓVULO
SABIA	SABIÁ
TERCO	TERÇO
ZIPER	ZÍPER
NEVOA	NÉVOA
AUREO	ÁUREO
BUFAO	BUFÃO
CARIE	CÁRIE
BOTAO	BOTÃO
MAFIA	MÁFIA
LENCO	LENÇO
OTICA	ÓTICA
BARAO	BARÃO
CUTIS	CÚTIS
CHALE	CHALÉ
IRMAS	IRMÃS
ENTAO	ENTÃO
JUIZO	JUÍZO
POCOS	POÇOS
GEMEO	GÊMEO
AGUIA	ÁGUIA
ROBOS	ROBÔS
MEDIO	MÉDIO
ORGAO	ÓRGÃO
GALAO	GALÃO
FACIL	FÁCIL
ALCAR	ALÇAR
MIUDO	MIÚDO
MOIDA	MOÍDA
ETICO	ÉTICO
FUSAO	FUSÃO
VERAO	VERÃO
BILIS	BÍLIS
IMPAR	ÍMPAR
ARABE	ÁRABE
TRICO	TRICÔ
ACUDE	AÇUDE
CISAO	CISÃO
TIBIA	TÍBIA
MUTUO	MÚTUO
POREM	PORÉM
INVES	INVÉS
CIUME	CIÚME
FORCA	FORÇA
OTIMO	ÓTIMO
INDIO	ÍNDIO
TESAO	TESÃO
PAVAO	PAVÃO
OPCAO	OPÇÃO
ICONE	ÍCONE
BRACO	BRAÇO
LICAO	LIÇÃO
ROCAR	ROÇAR
POCAO	POÇÃO
MOVEL	MÓVEL
ATRAS	ATRÁS
VENUS	VÊNUS
REGUA	RÉGUA
TENUE	TÊNUE
ALIAS	ALIÁS
PRECO	PREÇO
ETICA	ÉTICA
UNIAO	UNIÃO
BONUS	BÔNUS
ANIMO	ÂNIMO
OBVIO	ÓBVIO
SABIO	SÁBIO
FURIA	FÚRIA
IDOLO	ÍDOLO
CACAR	CAÇAR
VACUO	VÁCUO
ANEIS	ANÉIS
COXAO	COXÃO
TAXIS	TÁXIS
SITIO	SÍTIO
OMEGA	ÔMEGA
SUTIA	SUTIÃ
POLEN	PÓLEN
DEBIL	DÉBIL
ORFAO	ÓRFÃO
FEMEA	FÊMEA
SECAO	SEÇÃO
PUXAO	PUXÃO
REVES	REVÉS
AUDIO	ÁUDIO
ANSIA	ÂNSIA
TRIPE	TRIPÉ
ALIBI	ÁLIBI
REDEA	RÉDEA
MUTUA	MÚTUA
VAGAO	VAGÃO
SALAO	SALÃO
FACAO	FACÃO
SODIO	SÓDIO
SABAO	SABÃO
TENIS	TÊNIS
NENEM	NENÉM
DUZIA	DÚZIA
RACAO	RAÇÃO
TERCA	TERÇA
SOTAO	SÓTÃO
FUZUE	FUZUÊ
UNICO	ÚNICO
IRMAO	IRMÃO
VOLEI	VÔLEI
AREAS	ÁREAS
TABUA	TÁBUA
SAUDE	SAÚDE
EXODO	ÊXODO
ACOLA	ACOLÁ
OASIS	OÁSIS
FORUM	FÓRUM
TRACO	TRAÇO
CILIO	CÍLIO
TUFAO	TUFÃO
LIRIO	LÍRIO
CACAO	CAÇÃO
REFEM	REFÉM
HIFEN	HÍFEN
LESAO	LESÃO
GENIO	GÊNIO
AMBAR	ÂMBAR
EBRIO	ÉBRIO
AMAGO	ÂMAGO
SENAO	SENÃO
OSSEA	ÓSSEA
VAZAO	VAZÃO
UMIDO	ÚMIDO
LACOS	LAÇOS
MEDIA	MÉDIA
DOCIL	DÓCIL
OTIMA	ÓTIMA
MANHA	MANHÃ
PEOES	PEÕES
RADIO	RÁDIO
GRACA	GRAÇA
TATIL	TÁTIL
SIMIO	SÍMIO
HABIL	HÁBIL
CALCA	CALÇA
DOLAR	DÓLAR
LIMAO	LIMÃO
LANCA	LANÇA
ALBUM	ÁLBUM
FUTIL	FÚTIL
DEDAO	DEDÃO
ANOES	ANÕES
OTICO	ÓTICO
ARIES	ÁRIES
VILAO	VILÃO
NIVEL	NÍVEL
LILAS	LILÁS
GAMBA	GAMBÁ
ARDUO	ÁRDUO
SOSIA	SÓSIA
FUCAR	FUÇAR
QUICA	QUIÇÁ
AVIAO	AVIÃO
VOCES	VOCÊS
